Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,,
13746,27/08/2010,R22,Fremantle,13,15,93,Carlton,13,9,87,Subiaco,6,2010,Regular,22,,0
13747,28/08/2010,R22,Geelong,16,16,112,West Coast,10,8,68,Kardinia Park,44,2010,Regular,22,,0
13748,28/08/2010,R22,Hawthorn,15,8,98,Collingwood,13,17,95,M.C.G.,3,2010,Regular,22,,0
13749,28/08/2010,R22,Adelaide,9,11,65,St Kilda,5,7,37,Football Park,28,2010,Regular,22,,0
13750,28/08/2010,R22,Footscray,17,5,107,Essendon,11,12,78,Docklands,29,2010,Regular,22,,0
13751,28/08/2010,R22,Brisbane Lions,10,8,68,Sydney,16,10,106,Gabba,-38,2010,Regular,22,,0
13752,29/08/2010,R22,Richmond,16,16,112,Port Adelaide,18,14,122,Docklands,-10,2010,Regular,22,,0
13753,29/08/2010,R22,Melbourne,15,13,103,North Melbourne,17,11,113,M.C.G.,-10,2010,Regular,22,,0
13754,3/09/2010,QF,St Kilda,12,11,83,Geelong,11,13,79,M.C.G.,4,2010,Finals,23,,0
13755,4/09/2010,EF,Fremantle,14,10,94,Hawthorn,8,16,64,Subiaco,30,2010,Finals,23,,0
13756,4/09/2010,QF,Collingwood,17,22,124,Footscray,8,14,62,M.C.G.,62,2010,Finals,23,,0
13757,5/09/2010,EF,Sydney,14,15,99,Carlton,13,16,94,Stadium Australia,5,2010,Finals,23,,0
13758,10/09/2010,SF,Geelong,20,15,135,Fremantle,10,6,66,M.C.G.,69,2010,Finals,24,,0
13759,11/09/2010,SF,Footscray,11,11,77,Sydney,10,12,72,M.C.G.,5,2010,Finals,24,,0
13760,17/09/2010,PF,Collingwood,18,12,120,Geelong,11,13,79,M.C.G.,41,2010,Finals,25,,0
13761,18/09/2010,PF,St Kilda,13,10,88,Footscray,8,16,64,M.C.G.,24,2010,Finals,25,,0
13762,25/09/2010,GF,St Kilda,10,8,68,Collingwood,9,14,68,M.C.G.,0,2010,Finals,26,,0
13763,2/10/2010,GF,Collingwood,16,12,108,St Kilda,7,10,52,M.C.G.,56,2010,Finals,26,,0
13764,24/03/2011,R1,Carlton,14,20,104,Richmond,13,6,84,M.C.G.,20,2011,Regular,1,,0
13765,25/03/2011,R1,Geelong,6,12,48,St Kilda,6,11,47,M.C.G.,1,2011,Regular,1,,0
13766,26/03/2011,R1,Collingwood,24,11,155,Port Adelaide,12,8,80,Docklands,75,2011,Regular,1,,0
13767,26/03/2011,R1,Adelaide,16,9,105,Hawthorn,12,13,85,Football Park,20,2011,Regular,1,,0
13768,26/03/2011,R1,Brisbane Lions,14,8,92,Fremantle,13,16,94,Gabba,-2,2011,Regular,1,,0
13769,27/03/2011,R1,Essendon,16,17,113,Footscray,8,10,58,Docklands,55,2011,Regular,1,,0
13770,27/03/2011,R1,Melbourne,11,18,84,Sydney,11,18,84,M.C.G.,0,2011,Regular,1,,0
13771,27/03/2011,R1,West Coast,13,14,92,North Melbourne,13,10,88,Subiaco,4,2011,Regular,1,,0
13772,1/04/2011,R2,St Kilda,13,17,95,Richmond,14,11,95,M.C.G.,0,2011,Regular,2,,0
13773,2/04/2011,R2,North Melbourne,7,14,56,Collingwood,21,17,143,Docklands,-87,2011,Regular,2,,0
13774,2/04/2011,R2,Port Adelaide,15,8,98,West Coast,16,20,116,Football Park,-18,2011,Regular,2,,0
13775,2/04/2011,R2,Gold Coast,7,10,52,Carlton,26,15,171,Gabba,-119,2011,Regular,2,,0
13776,2/04/2011,R2,Fremantle,10,18,78,Geelong,13,11,89,Subiaco,-11,2011,Regular,2,,0
13777,3/04/2011,R2,Footscray,19,9,123,Brisbane Lions,6,9,45,Docklands,78,2011,Regular,2,,0
13778,3/04/2011,R2,Sydney,14,14,98,Essendon,13,15,93,Stadium Australia,5,2011,Regular,2,,0
13779,3/04/2011,R2,Hawthorn,16,26,122,Melbourne,12,5,77,M.C.G.,45,2011,Regular,2,,0
13780,8/04/2011,R3,Collingwood,15,12,102,Carlton,11,8,74,M.C.G.,28,2011,Regular,3,,0
13781,9/04/2011,R3,Footscray,18,14,122,Gold Coast,7,9,51,Docklands,71,2011,Regular,3,,0
13782,9/04/2011,R3,Adelaide,7,12,54,Fremantle,11,13,79,Football Park,-25,2011,Regular,3,,0
13783,9/04/2011,R3,Richmond,6,16,52,Hawthorn,17,13,115,M.C.G.,-63,2011,Regular,3,,0
13784,9/04/2011,R3,West Coast,13,10,88,Sydney,15,11,101,Subiaco,-13,2011,Regular,3,,0
13785,10/04/2011,R3,Melbourne,12,10,82,Brisbane Lions,11,5,71,M.C.G.,11,2011,Regular,3,,0
13786,10/04/2011,R3,Geelong,17,20,122,Port Adelaide,6,7,43,Kardinia Park,79,2011,Regular,3,,0
13787,10/04/2011,R3,St Kilda,12,12,84,Essendon,21,10,136,Docklands,-52,2011,Regular,3,,0
13788,15/04/2011,R4,Richmond,13,12,90,Collingwood,24,17,161,M.C.G.,-71,2011,Regular,4,,0
13789,16/04/2011,R4,Carlton,11,13,79,Essendon,11,13,79,M.C.G.,0,2011,Regular,4,,0
13790,16/04/2011,R4,Hawthorn,10,12,72,West Coast,9,11,65,York Park,7,2011,Regular,4,,0
13791,16/04/2011,R4,Sydney,7,12,54,Geelong,11,15,81,S.C.G.,-27,2011,Regular,4,,0
13792,16/04/2011,R4,Port Adelaide,14,14,98,Adelaide,9,12,66,Football Park,32,2011,Regular,4,,0
13793,17/04/2011,R4,Gold Coast,9,15,69,Melbourne,23,21,159,Gabba,-90,2011,Regular,4,,0
